,exchange,future
0,SHF,RB
1,SHF,RU
2,DCE,C
3,DCE,M
4,DCE,Y
5,DCE,P
6,DCE,I
7,DCE,JD
8,DCE,PP
9,CZC,CF
10,CZC,RM
