,exchange,future
0,SHF,CU
1,SHF,AG
2,SHF,RB
3,SHF,RU
4,SHF,BU
5,SHF,NI
6,DCE,C
7,DCE,M
8,DCE,Y
9,DCE,P
10,DCE,L
11,DCE,I
12,DCE,PP
13,DCE,CS
14,CZC,SR
15,CZC,TA
16,CZC,MA
17,CZC,RM
